DeviceId,Name,Reading Timestamp (UTC),Received Timestamp (UTC),Ch01 (°C),Ch02 (°C),Ch03 (°C),Ch04 (°C),Ch05 (°C),Ch06 (°C),Ch07 (°C),Ch08 (°C),Ch09 (°C)
000D6FFFFEB1BBCB,,8/28/2020 8:06:13 PM,9/22/2020 2:52:59 PM,24.86,24.59,24.86,25.31,25.02,24.76,24.20,24.69,24.65
000D6FFFFEB1BBCB,,8/28/2020 8:06:17 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:06:21 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:06:25 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:06:29 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:06:33 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:16:33 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:16:37 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:26:37 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:36:37 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:36:41 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:36:45 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,8/28/2020 8:36:49 PM,9/22/2020 2:52:59 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,25.33,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:02:34 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,20.00,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:12:34 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,23.55,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:12:38 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,23.87,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:12:42 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,24.28,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:12:46 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,24.42,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:12:50 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,25.73,<SensorError>,<SensorError>,<SensorError>,<SensorError>
000D6FFFFEB1BBCB,,9/22/2020 3:18:43 PM,9/22/2020 3:18:46 PM,<SensorError>,<SensorError>,<SensorError>,<SensorError>,27.11,<SensorError>,<SensorError>,<SensorError>,<SensorError>
